id,nombre,descripcion,estado,cantidad,ubicacion,balda,fecha_alta,observaciones,tipo
21,cable,un cable,operativo,2,ARM01,1,2026-05-19,una,cableado
23,herr,es una herr,operativo,1,ARM01,1,2026-05-19,we,herramienta
24,peri,desv,operativo,4,ARM01,3,2026-05-19,,periferico
25,peri,desv,operativo,4,ARM01,3,2026-05-19,,periferico
26,kjh,jhg,operativo,1,ARM01,1,2026-05-19,qw,periferico
27,asdf,adsfd,operativo,3,ARM01,1,2026-05-19,,cableado
28,asf,asg,operativo,2,ARM01,1,2026-05-19,fg,periferico
29,qwe,qwe,operativo,3,ARM01,2,2026-05-19,we,periferico
30,asd,as,operativo,2,ARM01,2,2026-05-19,,periferico
31,asda,aasw,operativo,1,ARM01,1,2026-05-19,,periferico
32,ws,as,operativo,1,ARM01,1,2026-05-19,,periferico
